iter	Passed	Remaining
1189	397920	1274014
1190	398246	1273654
1191	398572	1273291
1192	398883	1272882
1193	399234	1272603
1194	399561	1272245
1195	399881	1271865
1196	400185	1271434
1197	400508	1271062
1198	400841	1270724
1199	401176	1270392
1200	401494	1270005
1201	401814	1269627
1202	402158	1269323
1203	402502	1269018
1204	402805	1268588
1205	403132	1268228
1206	403446	1267830
1207	403835	1267668
1208	404151	1267277
1209	404469	1266891
1210	404773	1266461
1211	405191	1266389
1212	405581	1266228
1213	405911	1265882
1214	406261	1265597
1215	406581	1265217
1216	406891	1264808
1217	407229	1264485
1218	407557	1264128
1219	407862	1263706
1220	408192	1263358
1221	408510	1262972
1222	408830	1262592
1223	409143	1262193
1224	409456	1261795
1225	409775	1261414
1226	410126	1261129
1227	410441	1260738
1228	410772	1260393
1229	411124	1260114
1230	411451	1259755
1231	411773	1259384
1232	412089	1258994
1233	412400	1258591
1234	412737	1258264
1235	413073	1257935
1236	413478	1257818
1237	413803	1257454
1238	414130	1257098
1239	414459	1256746
1240	414789	1256401
1241	415098	1255989
1242	415432	1255655
1243	415771	1255335
1244	416094	1254967
1245	416406	1254566
1246	416718	1254164
1247	417015	1253718
1248	417331	1253329
1249	417669	1253008
1250	418017	1252716
1251	418323	1252296
1252	418636	1251899
1253	418975	1251581
1254	419299	1251217
1255	419611	1250815
1256	419967	1250546
1257	420287	1250171
1258	420629	1249859
1259	420952	1249494
1260	421305	1249215
1261	421639	1248880
1262	421978	1248561
1263	422288	1248157
1264	422611	1247790
1265	422938	1247435
1266	423297	1247174
1267	423625	1246820
1268	424015	1246652
1269	424329	1246260
1270	424652	1245891
1271	424965	1245497
1272	425279	1245102
1273	425663	1244916
1274	425997	1244582
1275	426328	1244237
1276	426738	1244123
1277	427044	1243707
1278	427373	1243360
1279	427713	1243043
1280	428040	1242688
1281	428350	1242283
1282	428685	1241951
1283	429009	1241587
1284	429341	1241247
1285	429687	1240949
1286	430019	1240607
1287	430365	1240309
1288	430703	1239984
1289	431012	1239578
1290	431334	1239208
1291	431667	1238873
1292	431985	1238490
1293	432324	1238171
1294	432637	1237778
1295	432989	1237494
1296	433299	1237092
1297	433685	1236906
1298	434025	1236587
1299	434347	1236219
1300	434657	1235817
1301	434996	1235496
1302	435323	1235143
1303	435647	1234778
1304	435964	1234396
1305	436303	1234076
1306	436616	1233683
1307	436938	1233314
1308	437245	1232905
1309	437573	1232555
1310	437885	1232157
1311	438213	1231806
1312	438539	1231451
1313	438860	1231080
1314	439188	1230731
1315	439527	1230409
1316	439834	1230001
1317	440163	1229651
1318	440494	1229310
1319	440818	1228949
1320	441141	1228583
1321	441451	1228183
1322	441797	1227883
1323	442116	1227508
1324	442455	1227188
1325	442797	1226877
1326	443217	1226781
1327	443567	1226490
1328	443896	1226143
1329	444232	1225813
1330	444550	1225435
1331	444862	1225042
1332	445182	1224668
1333	445523	1224354
1334	445851	1224002
1335	446174	1223640
1336	446505	1223297
1337	446834	1222951
1338	447144	1222550
1339	447459	1222164
1340	447791	1221826
1341	448110	1221451
1342	448417	1221044
1343	448822	1220902
1344	449160	1220582
1345	449478	1220203
1346	449819	1219887
1347	450148	1219541
1348	450474	1219185
1349	450779	1218773
1350	451103	1218412
1351	451420	1218033
1352	451744	1217673
1353	452068	1217311
1354	452456	1217125
